condition,val_auroc,val_f1,val_accuracy,val_threshold,val_positive_class,val_aggregation_unit,test_auroc,test_f1,test_accuracy,test_threshold,test_positive_class,test_aggregation_unit,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.9242083310465945,0.8629610831424299,0.8629629629629629,0.595,normal,recording,0.9200490039416214,0.8101837103111393,0.8109090909090909,0.595,normal,recording,2428,129104,270,14135,275,14833
ica,0.9174578782723232,0.8584827586206896,0.8592592592592593,0.5149999999999999,normal,recording,0.9209545115585384,0.8264378466207416,0.8290909090909091,0.5149999999999999,normal,recording,2428,129104,270,14135,275,14833
wiener,0.9271170627298173,0.8625386996904025,0.8629629629629629,0.5399999999999999,normal,recording,0.9245232768722702,0.8348877236520834,0.8363636363636363,0.5399999999999999,normal,recording,2428,129104,270,14135,275,14833
