condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold
raw,0.5277777777777778,0.5296442687747036,0.5882352941176471,0.4499999999999999,0.6852941176470588,0.40068201193520886,0.4864864864864865,0.4499999999999999
ica,0.5,0.5641025641025641,0.5882352941176471,0.43499999999999994,0.6764705882352942,0.5403726708074534,0.5675675675675675,0.43499999999999994
wiener,0.625,0.7017543859649122,0.7058823529411765,0.4699999999999999,0.7176470588235294,0.5898004434589801,0.5945945945945946,0.4699999999999999
