condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5277777777777778,0.5824561403508772,0.5882352941176471,0.4649999999999999,0.7970588235294117,0.6314176245210728,0.6486486486486487,0.4649999999999999,124,54592,17,2063,37,9343
ica,0.5416666666666667,0.6136363636363636,0.6470588235294118,0.32499999999999996,0.6823529411764706,0.5256410256410257,0.5675675675675675,0.32499999999999996,124,54592,17,2063,37,9343
wiener,0.6111111111111112,0.6458333333333333,0.6470588235294118,0.5049999999999999,0.7352941176470589,0.7279411764705883,0.7297297297297297,0.5049999999999999,124,54592,17,2063,37,9343
