condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5972222222222223,0.6458333333333333,0.6470588235294118,0.5049999999999999,0.7823529411764706,0.7501875468867216,0.7567567567567568,0.5049999999999999,124,149224,17,5526,37,26346
ica,0.4861111111111111,0.6886446886446886,0.7058823529411765,0.33999999999999997,0.7235294117647059,0.6391597899474869,0.6486486486486487,0.33999999999999997,124,149224,17,5526,37,26346
wiener,0.5694444444444444,0.6136363636363636,0.6470588235294118,0.4549999999999999,0.7352941176470588,0.5626477541371158,0.5945945945945946,0.4549999999999999,124,149224,17,5526,37,26346
