condition,val_auroc,val_f1,val_accuracy,val_threshold,val_positive_class,val_aggregation_unit,test_auroc,test_f1,test_accuracy,test_threshold,test_positive_class,test_aggregation_unit,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.9242083310465945,0.8629610831424299,0.8629629629629629,0.595,normal,recording,0.9200490039416214,0.8101837103111393,0.8109090909090909,0.595,normal,recording,2428,129104,270,14135,275,14833
ica,0.9174578782723232,0.8584827586206896,0.8592592592592593,0.5149999999999999,normal,recording,0.9209545115585384,0.8264378466207416,0.8290909090909091,0.5149999999999999,normal,recording,2428,129104,270,14135,275,14833
wiener_phasegated,0.9284342242467483,0.8617779315115877,0.8629629629629629,0.4749999999999999,normal,recording,0.9222328752530095,0.843445022771633,0.8472727272727273,0.4749999999999999,normal,recording,2428,129104,270,14135,275,14833
