condition,val_auroc,val_f1,val_accuracy,val_threshold,val_positive_class,val_aggregation_unit,test_auroc,test_f1,test_accuracy,test_threshold,test_positive_class,test_aggregation_unit,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.901212886230174,0.8617779315115877,0.8629629629629629,0.5149999999999999,normal,recording,0.9107276020027698,0.8264378466207416,0.8290909090909091,0.5149999999999999,normal,recording,2428,129104,270,14135,275,14833
ica,0.9031886285055706,0.8654186973859105,0.8666666666666667,0.49999999999999994,normal,recording,0.9129647384680941,0.8261109392027337,0.8290909090909091,0.49999999999999994,normal,recording,2428,129104,270,14135,275,14833
wiener_phasegated,0.9119148235552385,0.8771695226016349,0.8777777777777778,0.5249999999999999,normal,recording,0.9158410567806541,0.8341175051272771,0.8363636363636363,0.5249999999999999,normal,recording,2428,129104,270,14135,275,14833
