condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5694444444444444,0.5882352941176471,0.5882352941176471,0.4649999999999999,0.7529411764705882,0.7247023809523809,0.7297297297297297,0.4649999999999999,124,54592,17,2063,37,9343
ica,0.5277777777777778,0.6136363636363636,0.6470588235294118,0.3549999999999999,0.638235294117647,0.5256410256410257,0.5675675675675675,0.3549999999999999,124,54592,17,2063,37,9343
wiener_phasegated,0.6805555555555556,0.7017543859649122,0.7058823529411765,0.41999999999999993,0.75,0.6696428571428572,0.6756756756756757,0.41999999999999993,124,54592,17,2063,37,9343
