condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.6111111111111112,0.6458333333333333,0.6470588235294118,0.49999999999999994,0.7764705882352941,0.6946736684171042,0.7027027027027027,0.49999999999999994,124,149224,17,5526,37,26346
ica,0.5972222222222223,0.6458333333333333,0.6470588235294118,0.44499999999999995,0.7441176470588234,0.72953216374269,0.7297297297297297,0.44499999999999995,124,149224,17,5526,37,26346
wiener,0.6111111111111112,0.5882352941176471,0.5882352941176471,0.4649999999999999,0.7529411764705882,0.6881226053639846,0.7027027027027027,0.4649999999999999,124,149224,17,5526,37,26346
