condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5972222222222223,0.6458333333333333,0.6470588235294118,0.5399999999999999,0.7852941176470589,0.6792750197005516,0.7027027027027027,0.5399999999999999,124,54592,17,2063,37,9343
ica,0.5833333333333333,0.6357142857142857,0.6470588235294118,0.5499999999999999,0.7323529411764705,0.6442307692307692,0.6756756756756757,0.5499999999999999,124,54592,17,2063,37,9343
wiener,0.7222222222222223,0.7017543859649122,0.7058823529411765,0.5549999999999999,0.7588235294117648,0.703525641025641,0.7297297297297297,0.5549999999999999,124,54592,17,2063,37,9343
