condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5833333333333334,0.5882352941176471,0.5882352941176471,0.4699999999999999,0.7588235294117647,0.6991869918699187,0.7027027027027027,0.4699999999999999,124,54592,17,2063,37,9343
ica,0.5972222222222223,0.6357142857142857,0.6470588235294118,0.5399999999999999,0.65,0.6209613869188337,0.6486486486486487,0.5399999999999999,124,54592,17,2063,37,9343
wiener,0.4861111111111111,0.6136363636363636,0.6470588235294118,0.4499999999999999,0.7588235294117648,0.46376811594202894,0.5405405405405406,0.4499999999999999,124,54592,17,2063,37,9343
