condition,val_auroc,val_f1,val_accuracy,val_threshold,test_auroc,test_f1,test_accuracy,test_threshold,train_n_subjects,train_n_epochs,val_n_subjects,val_n_epochs,test_n_subjects,test_n_epochs
raw,0.5416666666666666,0.5824561403508772,0.5882352941176471,0.49499999999999994,0.7382352941176471,0.7247023809523809,0.7297297297297297,0.49499999999999994,124,149224,17,5526,37,26346
ica,0.4861111111111111,0.5641025641025641,0.5882352941176471,0.36499999999999994,0.7205882352941176,0.5626477541371158,0.5945945945945946,0.36499999999999994,124,149224,17,5526,37,26346
wiener,0.5555555555555556,0.6136363636363636,0.6470588235294118,0.37499999999999994,0.7441176470588236,0.5978260869565217,0.6216216216216216,0.37499999999999994,124,149224,17,5526,37,26346
wiener_zerophase,0.5833333333333334,0.7017543859649122,0.7058823529411765,0.4499999999999999,0.6529411764705882,0.6191176470588236,0.6216216216216216,0.4499999999999999,124,149224,17,5526,37,26346
